

This is the final analysis:
The best mean reward is 252.15700151594578 after episode 20000

Statistics for episode 5000
             profits/rebuy_cost/vendor_3: -345.09 (mean), -336.50 (median),  119.41 (std), -619.00 (min), -128.00 (max)
             profits/rebuy_cost/vendor_4: -247.23 (mean), -242.23 (median),   78.49 (std), -472.18 (min),  -46.03 (max)
           profits/storage_cost/vendor_0: -108.33 (mean),  -89.95 (median),   66.83 (std), -309.20 (min),  -14.90 (max)
           profits/storage_cost/vendor_1:  -68.52 (mean),  -55.55 (median),   41.59 (std), -236.20 (min),  -14.00 (max)
           profits/storage_cost/vendor_2: -144.10 (mean), -118.80 (median),   80.77 (std), -399.80 (min),  -49.70 (max)
           profits/storage_cost/vendor_3: -402.70 (mean), -454.15 (median),  116.31 (std), -499.40 (min),  -40.30 (max)
           profits/storage_cost/vendor_4:  -77.52 (mean),  -66.50 (median),   38.00 (std), -202.00 (min),  -29.40 (max)
                    state/in_circulation:  231.10 (mean),  211.84 (median),   58.59 (std),  127.94 (min),  344.78 (max)
               state/in_storage/vendor_0:   22.47 (mean),   18.77 (median),   13.78 (std),    2.90 (min),   63.18 (max)
               state/in_storage/vendor_1:   14.61 (mean),   12.16 (median),    8.85 (std),    2.86 (min),   49.04 (max)
               state/in_storage/vendor_2:   29.57 (mean),   24.46 (median),   16.64 (std),    9.68 (min),   81.08 (max)
               state/in_storage/vendor_3:   79.63 (mean),   89.46 (median),   23.36 (std),    7.36 (min),   99.82 (max)
               state/in_storage/vendor_4:   16.34 (mean),   14.14 (median),    8.12 (std),    5.94 (min),   42.10 (max)

Statistics for episode 20000
                                a/reward:  252.16 (mean),  263.92 (median),   59.15 (std),  -64.33 (min),  372.61 (max)
              actions/price_new/vendor_0:    5.39 (mean),    5.39 (median),    0.30 (std),    4.44 (min),    6.09 (max)
              actions/price_new/vendor_1:    4.01 (mean),    4.00 (median),    0.01 (std),    4.00 (min),    4.10 (max)
              actions/price_new/vendor_2:    8.45 (mean),    8.46 (median),    0.29 (std),    7.56 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.69 (mean),    4.68 (median),    0.14 (std),    4.32 (min),    5.03 (max)
            actions/price_rebuy/vendor_0:    0.26 (mean),    0.23 (median),    0.20 (std),    0.00 (min),    0.95 (max)
            actions/price_rebuy/vendor_1:    1.10 (mean),    1.09 (median),    0.26 (std),    0.37 (min),    1.84 (max)
            actions/price_rebuy/vendor_2:    0.56 (mean),    0.56 (median),    0.38 (std),    0.02 (min),    2.10 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.87 (mean),    0.84 (median),    0.29 (std),    0.17 (min),    1.76 (max)
      actions/price_refurbished/vendor_0:    2.97 (mean),    2.99 (median),    0.48 (std),    1.93 (min),    4.14 (max)
      actions/price_refurbished/vendor_1:    2.21 (mean),    2.18 (median),    0.27 (std),    1.58 (min),    2.99 (max)
      actions/price_refurbished/vendor_2:    2.56 (mean),    2.55 (median),    0.37 (std),    2.02 (min),    3.92 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.30 (mean),    3.20 (median),    0.62 (std),    2.06 (min),    5.48 (max)
                    customer/buy_nothing:   61.90 (mean),   61.50 (median),    8.58 (std),   38.00 (min),   90.00 (max)
         customer/purchases_new/vendor_0:   90.26 (mean),   87.00 (median),   18.42 (std),   47.00 (min),  160.00 (max)
         customer/purchases_new/vendor_1:  159.62 (mean),  158.00 (median),   15.84 (std),  120.00 (min),  205.00 (max)
         customer/purchases_new/vendor_2:    8.30 (mean),    7.00 (median),    5.55 (std),    0.00 (min),   28.00 (max)
         customer/purchases_new/vendor_3:   66.38 (mean),   66.00 (median),    9.04 (std),   43.00 (min),  106.00 (max)
         customer/purchases_new/vendor_4:  119.47 (mean),  119.00 (median),   15.68 (std),   77.00 (min),  162.00 (max)
 customer/purchases_refurbished/vendor_0:   70.18 (mean),   69.00 (median),   23.01 (std),   20.00 (min),  119.00 (max)
 customer/purchases_refurbished/vendor_1:  131.88 (mean),  133.00 (median),   21.62 (std),   71.00 (min),  175.00 (max)
 customer/purchases_refurbished/vendor_2:   92.97 (mean),   93.00 (median),   15.19 (std),   42.00 (min),  126.00 (max)
 customer/purchases_refurbished/vendor_3:   62.19 (mean),   62.00 (median),    8.52 (std),   35.00 (min),   90.00 (max)
 customer/purchases_refurbished/vendor_4:  133.46 (mean),  136.00 (median),   25.07 (std),   67.00 (min),  213.00 (max)
                   owner/rebuys/vendor_0:   31.32 (mean),   31.00 (median),    9.13 (std),    9.00 (min),   55.00 (max)
                   owner/rebuys/vendor_1:   86.68 (mean),   84.00 (median),   21.84 (std),   36.00 (min),  150.00 (max)
                   owner/rebuys/vendor_2:   55.07 (mean),   53.50 (median),   18.29 (std),   17.00 (min),  102.00 (max)
                   owner/rebuys/vendor_3:  174.51 (mean),  168.00 (median),   59.64 (std),   59.00 (min),  306.00 (max)
                   owner/rebuys/vendor_4:   91.89 (mean),   92.00 (median),   22.99 (std),   30.00 (min),  153.00 (max)
                        owner/throw_away:    5.76 (mean),    6.00 (median),    2.63 (std),    0.00 (min),   16.00 (max)
                    profits/all/vendor_0:  252.16 (mean),  263.92 (median),   59.15 (std),  -64.33 (min),  372.61 (max)
                    profits/all/vendor_1:  117.86 (mean),  130.43 (median),   64.23 (std), -215.10 (min),  234.58 (max)
                    profits/all/vendor_2:    7.51 (mean),   15.75 (median),   47.18 (std), -188.90 (min),  132.30 (max)
